estacion,anio,mes,caudal_m3s,periodo
Aguada Blanca,1968.0,01,,196801
Aguada Blanca,1969.0,01,,196901
Aguada Blanca,1970.0,01,,197001
Aguada Blanca,1971.0,01,,197101
Aguada Blanca,1972.0,01,7.89,197201
Aguada Blanca,1973.0,01,40.48,197301
Aguada Blanca,1974.0,01,38.84,197401
Aguada Blanca,1975.0,01,15.14,197501
Aguada Blanca,1976.0,01,14.77,197601
Aguada Blanca,1977.0,01,8.54,197701
Aguada Blanca,1978.0,01,10.86,197801
Aguada Blanca,1979.0,01,9.37,197901
Aguada Blanca,1980.0,01,8.9,198001
Aguada Blanca,1981.0,01,6.09,198101
Aguada Blanca,1982.0,01,12.49,198201
Aguada Blanca,1983.0,01,9.37,198301
Aguada Blanca,1984.0,01,5.85,198401
Aguada Blanca,1985.0,01,12.71,198501
Aguada Blanca,1986.0,01,27.62,198601
Aguada Blanca,1987.0,01,27.07,198701
Aguada Blanca,1988.0,01,10.53,198801
Aguada Blanca,1989.0,01,9.87,198901
Aguada Blanca,1990.0,01,9.86,199001
Aguada Blanca,1991.0,01,9.06,199101
Aguada Blanca,1992.0,01,8.35,199201
Aguada Blanca,1993.0,01,5.83,199301
Aguada Blanca,1994.0,01,11.29,199401
Aguada Blanca,1995.0,01,10.93,199501
Aguada Blanca,1996.0,01,5.171,199601
Aguada Blanca,1997.0,01,9.624,199701
Aguada Blanca,1998.0,01,10.32,199801
Aguada Blanca,1999.0,01,10.47,199901
Aguada Blanca,2000.0,01,16.0,200001
Aguada Blanca,2001.0,01,16.108064516129033,200101
Aguada Blanca,2002.0,01,8.771903225806449,200201
Aguada Blanca,2003.0,01,12.11,200301
Aguada Blanca,2004.0,01,13.892903225806451,200401
Aguada Blanca,2005.0,01,11.405806451612902,200501
Aguada Blanca,2006.0,01,12.45032258064516,200601
Aguada Blanca,2007.0,01,16.676451612903225,200701
Aguada Blanca,2008.0,01,16.99593548387097,200801
Aguada Blanca,2009.0,01,9.673225806451613,200901
Aguada Blanca,2010.0,01,8.430322580645159,201001
Aguada Blanca,2011.0,01,11.97,201101
Aguada Blanca,2012.0,01,15.015806451612905,201201
Aguada Blanca,2013.0,01,22.88,201301
Aguada Blanca,2014.0,01,16.49516129032258,201401
Aguada Blanca,2015.0,01,9.392258064516128,201501
Aguada Blanca,2016.0,01,10.009032258064513,201601
Aguada Blanca,2017.0,01,10.110967741935484,201701
Aguada Blanca,2018.0,01,15.437741935483873,201801
Aguada Blanca,2019.0,01,12.400967741935478,201901
Aguada Blanca,2020.0,01,16.18774193548387,202001
Aguada Blanca,2021.0,01,18.330967741935485,202101
Aguada Blanca,2022.0,01,13.25,202201
Aguada Blanca,2023.0,01,10.69,202301
Aguada Blanca,2024.0,01,8.9,202401
Aguada Blanca,2025.0,01,11.01,202501
Aguada Blanca,1968.0,02,,196802
Aguada Blanca,1969.0,02,,196902
Aguada Blanca,1970.0,02,,197002
Aguada Blanca,1971.0,02,,197102
Aguada Blanca,1972.0,02,35.28,197202
Aguada Blanca,1973.0,02,53.16,197302
Aguada Blanca,1974.0,02,32.89,197402
Aguada Blanca,1975.0,02,34.68,197502
Aguada Blanca,1976.0,02,16.5,197602
Aguada Blanca,1977.0,02,6.89,197702
Aguada Blanca,1978.0,02,15.0,197802
Aguada Blanca,1979.0,02,9.03,197902
Aguada Blanca,1980.0,02,8.74,198002
Aguada Blanca,1981.0,02,14.78,198102
Aguada Blanca,1982.0,02,11.72,198202
Aguada Blanca,1983.0,02,8.08,198302
Aguada Blanca,1984.0,02,47.14,198402
Aguada Blanca,1985.0,02,33.13,198502
Aguada Blanca,1986.0,02,47.94,198602
Aguada Blanca,1987.0,02,18.35,198702
Aguada Blanca,1988.0,02,16.8,198802
Aguada Blanca,1989.0,02,10.1,198902
Aguada Blanca,1990.0,02,8.31,199002
Aguada Blanca,1991.0,02,8.79,199102
Aguada Blanca,1992.0,02,5.69,199202
Aguada Blanca,1993.0,02,9.5,199302
Aguada Blanca,1994.0,02,14.34,199402
Aguada Blanca,1995.0,02,8.63,199502
Aguada Blanca,1996.0,02,7.134,199602
Aguada Blanca,1997.0,02,13.731,199702
Aguada Blanca,1998.0,02,16.97,199802
Aguada Blanca,1999.0,02,16.54,199902
Aguada Blanca,2000.0,02,17.41,200002
Aguada Blanca,2001.0,02,23.681071428571432,200102
Aguada Blanca,2002.0,02,14.8325,200202
Aguada Blanca,2003.0,02,12.2,200302
Aguada Blanca,2004.0,02,20.039655172413788,200402
Aguada Blanca,2005.0,02,12.99,200502
Aguada Blanca,2006.0,02,23.211071428571426,200602
Aguada Blanca,2007.0,02,14.08714285714286,200702
Aguada Blanca,2008.0,02,13.253,200802
Aguada Blanca,2009.0,02,7.686428571428571,200902
Aguada Blanca,2010.0,02,9.13,201002
Aguada Blanca,2011.0,02,14.92,201102
Aguada Blanca,2012.0,02,15.15,201202
Aguada Blanca,2013.0,02,20.72,201302
Aguada Blanca,2014.0,02,13.94,201402
Aguada Blanca,2015.0,02,9.000714285714285,201502
Aguada Blanca,2016.0,02,12.275172413793104,201602
Aguada Blanca,2017.0,02,10.111071428571426,201702
Aguada Blanca,2018.0,02,17.846785714285716,201802
Aguada Blanca,2019.0,02,20.281071428571433,201902
Aguada Blanca,2020.0,02,19.983793103448278,202002
Aguada Blanca,2021.0,02,14.536785714285715,202102
Aguada Blanca,2022.0,02,12.18,202202
Aguada Blanca,2023.0,02,18.07,202302
Aguada Blanca,2024.0,02,9.39,202402
Aguada Blanca,2025.0,02,18.32,202502
Aguada Blanca,1968.0,03,,196803
Aguada Blanca,1969.0,03,,196903
Aguada Blanca,1970.0,03,,197003
Aguada Blanca,1971.0,03,,197103
Aguada Blanca,1972.0,03,61.42,197203
Aguada Blanca,1973.0,03,45.21,197303
Aguada Blanca,1974.0,03,25.98,197403
Aguada Blanca,1975.0,03,26.0,197503
Aguada Blanca,1976.0,03,16.57,197603
Aguada Blanca,1977.0,03,35.21,197703
Aguada Blanca,1978.0,03,9.2,197803
Aguada Blanca,1979.0,03,8.39,197903
Aguada Blanca,1980.0,03,7.83,198003
Aguada Blanca,1981.0,03,23.33,198103
Aguada Blanca,1982.0,03,9.08,198203
Aguada Blanca,1983.0,03,7.84,198303
Aguada Blanca,1984.0,03,36.43,198403
Aguada Blanca,1985.0,03,36.0,198503
Aguada Blanca,1986.0,03,63.0,198603
Aguada Blanca,1987.0,03,13.13,198703
Aguada Blanca,1988.0,03,11.25,198803
Aguada Blanca,1989.0,03,11.03,198903
Aguada Blanca,1990.0,03,5.99,199003
Aguada Blanca,1991.0,03,29.14,199103
Aguada Blanca,1992.0,03,3.86,199203
Aguada Blanca,1993.0,03,11.7,199303
Aguada Blanca,1994.0,03,13.76,199403
Aguada Blanca,1995.0,03,10.35,199503
Aguada Blanca,1996.0,03,9.704,199603
Aguada Blanca,1997.0,03,17.145,199703
Aguada Blanca,1998.0,03,13.38,199803
Aguada Blanca,1999.0,03,23.13,199903
Aguada Blanca,2000.0,03,18.5,200003
Aguada Blanca,2001.0,03,23.24,200103
Aguada Blanca,2002.0,03,20.948709677419355,200203
Aguada Blanca,2003.0,03,14.803870967741934,200303
Aguada Blanca,2004.0,03,12.705161290322582,200403
Aguada Blanca,2005.0,03,10.045031859639401,200503
Aguada Blanca,2006.0,03,20.933870967741935,200603
Aguada Blanca,2007.0,03,17.03129032258064,200703
Aguada Blanca,2008.0,03,12.706286166439565,200803
Aguada Blanca,2009.0,03,13.02290322580645,200903
Aguada Blanca,2010.0,03,10.73,201003
Aguada Blanca,2011.0,03,18.77,201103
Aguada Blanca,2012.0,03,15.0,201203
Aguada Blanca,2013.0,03,22.08032258064516,201303
Aguada Blanca,2014.0,03,11.614516129032257,201403
Aguada Blanca,2015.0,03,14.390179702440715,201503
Aguada Blanca,2016.0,03,10.174193548387096,201603
Aguada Blanca,2017.0,03,9.820645161290322,201703
Aguada Blanca,2018.0,03,19.591290322580644,201803
Aguada Blanca,2019.0,03,19.866774193548387,201903
Aguada Blanca,2020.0,03,23.54709677419355,202003
Aguada Blanca,2021.0,03,13.293870967741936,202103
Aguada Blanca,2022.0,03,15.47,202203
Aguada Blanca,2023.0,03,11.44,202303
Aguada Blanca,2024.0,03,23.7,202403
Aguada Blanca,2025.0,03,23.22,202503
Aguada Blanca,1968.0,04,,196804
Aguada Blanca,1969.0,04,,196904
Aguada Blanca,1970.0,04,,197004
Aguada Blanca,1971.0,04,,197104
Aguada Blanca,1972.0,04,16.07,197204
Aguada Blanca,1973.0,04,18.2,197304
Aguada Blanca,1974.0,04,14.08,197404
Aguada Blanca,1975.0,04,16.0,197504
Aguada Blanca,1976.0,04,10.42,197604
Aguada Blanca,1977.0,04,9.55,197704
Aguada Blanca,1978.0,04,8.65,197804
Aguada Blanca,1979.0,04,8.0,197904
Aguada Blanca,1980.0,04,7.13,198004
Aguada Blanca,1981.0,04,10.94,198104
Aguada Blanca,1982.0,04,9.05,198204
Aguada Blanca,1983.0,04,6.17,198304
Aguada Blanca,1984.0,04,17.56,198404
Aguada Blanca,1985.0,04,39.96,198504
Aguada Blanca,1986.0,04,24.34,198604
Aguada Blanca,1987.0,04,10.52,198704
Aguada Blanca,1988.0,04,16.86,198804
Aguada Blanca,1989.0,04,8.16,198904
Aguada Blanca,1990.0,04,4.39,199004
Aguada Blanca,1991.0,04,10.37,199104
Aguada Blanca,1992.0,04,3.77,199204
Aguada Blanca,1993.0,04,8.24,199304
Aguada Blanca,1994.0,04,11.67,199404
Aguada Blanca,1995.0,04,9.79,199504
Aguada Blanca,1996.0,04,9.005,199604
Aguada Blanca,1997.0,04,11.929,199704
Aguada Blanca,1998.0,04,11.94,199804
Aguada Blanca,1999.0,04,20.87,199904
Aguada Blanca,2000.0,04,15.96,200004
Aguada Blanca,2001.0,04,22.233666666666668,200104
Aguada Blanca,2002.0,04,14.964,200204
Aguada Blanca,2003.0,04,15.963,200304
Aguada Blanca,2004.0,04,12.119666666666667,200404
Aguada Blanca,2005.0,04,8.854000000000001,200504
Aguada Blanca,2006.0,04,16.937999999999995,200604
Aguada Blanca,2007.0,04,14.151666666666667,200704
Aguada Blanca,2008.0,04,11.186333333333335,200804
Aguada Blanca,2009.0,04,9.012666666666668,200904
Aguada Blanca,2010.0,04,11.104333333333335,201004
Aguada Blanca,2011.0,04,20.12,201104
Aguada Blanca,2012.0,04,14.586921491216048,201204
Aguada Blanca,2013.0,04,16.008,201304
Aguada Blanca,2014.0,04,9.137333333333332,201404
Aguada Blanca,2015.0,04,10.3,201504
Aguada Blanca,2016.0,04,10.005333333333333,201604
Aguada Blanca,2017.0,04,15.386999999999999,201704
Aguada Blanca,2018.0,04,14.425666666666668,201804
Aguada Blanca,2019.0,04,16.299666666666663,201904
Aguada Blanca,2020.0,04,19.617466666666665,202004
Aguada Blanca,2021.0,04,20.083666666666666,202104
Aguada Blanca,2022.0,04,12.78,202204
Aguada Blanca,2023.0,04,9.78,202304
Aguada Blanca,2024.0,04,18.69,202404
Aguada Blanca,2025.0,04,20.84,202504
Aguada Blanca,1968.0,05,,196805
Aguada Blanca,1969.0,05,,196905
Aguada Blanca,1970.0,05,,197005
Aguada Blanca,1971.0,05,,197105
Aguada Blanca,1972.0,05,7.72,197205
Aguada Blanca,1973.0,05,14.95,197305
Aguada Blanca,1974.0,05,14.75,197405
Aguada Blanca,1975.0,05,15.34,197505
Aguada Blanca,1976.0,05,10.0,197605
Aguada Blanca,1977.0,05,8.39,197705
Aguada Blanca,1978.0,05,8.74,197805
Aguada Blanca,1979.0,05,8.3,197905
Aguada Blanca,1980.0,05,6.36,198005
Aguada Blanca,1981.0,05,10.25,198105
Aguada Blanca,1982.0,05,8.19,198205
Aguada Blanca,1983.0,05,4.04,198305
Aguada Blanca,1984.0,05,11.24,198405
Aguada Blanca,1985.0,05,13.84,198505
Aguada Blanca,1986.0,05,13.54,198605
Aguada Blanca,1987.0,05,9.44,198705
Aguada Blanca,1988.0,05,9.19,198805
Aguada Blanca,1989.0,05,8.16,198905
Aguada Blanca,1990.0,05,3.89,199005
Aguada Blanca,1991.0,05,9.8,199105
Aguada Blanca,1992.0,05,4.02,199205
Aguada Blanca,1993.0,05,7.88,199305
Aguada Blanca,1994.0,05,10.62,199405
Aguada Blanca,1995.0,05,9.33,199505
Aguada Blanca,1996.0,05,6.187,199605
Aguada Blanca,1997.0,05,10.997,199705
Aguada Blanca,1998.0,05,10.67,199805
Aguada Blanca,1999.0,05,13.05,199905
Aguada Blanca,2000.0,05,11.6,200005
Aguada Blanca,2001.0,05,19.902580645161287,200105
Aguada Blanca,2002.0,05,10.845806451612905,200205
Aguada Blanca,2003.0,05,10.903225806451617,200305
Aguada Blanca,2004.0,05,10.03483870967742,200405
Aguada Blanca,2005.0,05,8.519354838709678,200505
Aguada Blanca,2006.0,05,12.054193548387099,200605
Aguada Blanca,2007.0,05,12.330322580645161,200705
Aguada Blanca,2008.0,05,9.610967741935482,200805
Aguada Blanca,2009.0,05,9.004838709677419,200905
Aguada Blanca,2010.0,05,10.68,201005
Aguada Blanca,2011.0,05,13.32,201105
Aguada Blanca,2012.0,05,14.237741935483873,201205
Aguada Blanca,2013.0,05,14.53,201305
Aguada Blanca,2014.0,05,9.004193548387095,201405
Aguada Blanca,2015.0,05,9.998387096774191,201505
Aguada Blanca,2016.0,05,10.009032258064511,201605
Aguada Blanca,2017.0,05,11.08258064516129,201705
Aguada Blanca,2018.0,05,11.09483870967742,201805
Aguada Blanca,2019.0,05,12.000322580645161,201905
Aguada Blanca,2020.0,05,12.194193548387096,202005
Aguada Blanca,2021.0,05,12.0,202105
Aguada Blanca,2022.0,05,12.0,202205
Aguada Blanca,2023.0,05,10.46,202305
Aguada Blanca,2024.0,05,11.3,202405
Aguada Blanca,2025.0,05,12.4,202505
Aguada Blanca,1968.0,06,,196806
Aguada Blanca,1969.0,06,,196906
Aguada Blanca,1970.0,06,,197006
Aguada Blanca,1971.0,06,,197106
Aguada Blanca,1972.0,06,7.47,197206
Aguada Blanca,1973.0,06,14.47,197306
Aguada Blanca,1974.0,06,15.22,197406
Aguada Blanca,1975.0,06,15.74,197506
Aguada Blanca,1976.0,06,10.52,197606
Aguada Blanca,1977.0,06,8.54,197706
Aguada Blanca,1978.0,06,8.24,197806
Aguada Blanca,1979.0,06,8.17,197906
Aguada Blanca,1980.0,06,5.41,198006
Aguada Blanca,1981.0,06,10.34,198106
Aguada Blanca,1982.0,06,7.63,198206
Aguada Blanca,1983.0,06,3.71,198306
Aguada Blanca,1984.0,06,10.58,198406
Aguada Blanca,1985.0,06,13.66,198506
Aguada Blanca,1986.0,06,12.26,198606
Aguada Blanca,1987.0,06,8.24,198706
Aguada Blanca,1988.0,06,9.39,198806
Aguada Blanca,1989.0,06,8.16,198906
Aguada Blanca,1990.0,06,3.9,199006
Aguada Blanca,1991.0,06,8.95,199106
Aguada Blanca,1992.0,06,3.9,199206
Aguada Blanca,1993.0,06,7.77,199306
Aguada Blanca,1994.0,06,11.26,199406
Aguada Blanca,1995.0,06,9.21,199506
Aguada Blanca,1996.0,06,6.172,199606
Aguada Blanca,1997.0,06,9.263,199706
Aguada Blanca,1998.0,06,8.6,199806
Aguada Blanca,1999.0,06,10.013,199906
Aguada Blanca,2000.0,06,10.55,200006
Aguada Blanca,2001.0,06,15.034666666666668,200106
Aguada Blanca,2002.0,06,10.091000000000003,200206
Aguada Blanca,2003.0,06,10.063666666666665,200306
Aguada Blanca,2004.0,06,9.982666666666665,200406
Aguada Blanca,2005.0,06,8.087666666666665,200506
Aguada Blanca,2006.0,06,10.624666666666666,200606
Aguada Blanca,2007.0,06,12.026000000000002,200706
Aguada Blanca,2008.0,06,9.510849687057235,200806
Aguada Blanca,2009.0,06,8.605,200906
Aguada Blanca,2010.0,06,10.05,201006
Aguada Blanca,2011.0,06,12.966,201106
Aguada Blanca,2012.0,06,14.05,201206
Aguada Blanca,2013.0,06,14.009999999999998,201306
Aguada Blanca,2014.0,06,9.003082775649796,201406
Aguada Blanca,2015.0,06,10.005333333333333,201506
Aguada Blanca,2016.0,06,10.002999999999998,201606
Aguada Blanca,2017.0,06,11.001666666666667,201706
Aguada Blanca,2018.0,06,11.592666666666668,201806
Aguada Blanca,2019.0,06,12.001333333333331,201906
Aguada Blanca,2020.0,06,12.00040749216885,202006
Aguada Blanca,2021.0,06,12.0,202106
Aguada Blanca,2022.0,06,12.0,202206
Aguada Blanca,2023.0,06,10.5,202306
